deal_id,sales_rep,region,product,amount,stage,date
64,Karan,West,Product B,27371.0,Closed Lost,2024-03-06
65,Priya,West,Product C,,Closed Lost,2024-10-18
66,Karan,West,Product C,1026.0,Proposal,2024-04-17
67,Vikas,East,Product B,29952.0,Qualified,2024-09-18
68,Sneha,South,Product C,6557.0,Closed Lost,2024-12-05
69,Anjali,North,Product A,45092.0,Qualified,2024-04-11
70,Neha,North,Product A,17046.0,Closed Lost,2024-02-07
71,Sneha,West,Product C,,Closed Won,2024-09-10
72,Vikas,South,Product A,,Lead,2024-08-05
73,Priya,South,Product C,34944.0,Lead,2024-10-12
74,Priya,North,Product B,9738.0,Closed Lost,2024-10-13
75,Anjali,West,Product C,48138.0,Closed Lost,2024-08-16
76,Neha,West,Product B,,Proposal,2024-09-23
77,Sneha,South,Product B,,Proposal,2024-04-30
78,Karan,East,Product B,,Qualified,2024-03-18
79,Priya,West,Product C,,Lead,2024-07-31
80,Vikas,East,Product C,31534.0,Lead,2024-04-15
81,Vikas,West,Product C,,Closed Lost,2024-07-13
82,Sneha,North,Product B,20569.0,Closed Won,2024-10-02
83,Priya,West,Product A,18887.0,Closed Won,2024-01-15
84,Vikas,East,Product C,45508.0,Qualified,2024-08-27
85,Neha,North,Product B,,Lead,2024-11-25
86,Vikas,South,Product B,,Proposal,2024-07-13
87,Anjali,South,Product B,22420.0,Closed Won,2024-05-22
88,Vikas,East,Product A,,Closed Lost,2024-01-27
89,Anjali,South,Product C,,Lead,2024-05-06
90,Priya,North,Product C,,Qualified,2024-08-30
91,Rohit,South,Product B,46840.0,Proposal,2024-03-26
92,Rohit,South,Product B,,Proposal,2024-10-21
93,Vikas,West,Product C,,Closed Lost,2024-12-19
94,Priya,North,Product C,,Closed Lost,2024-01-22
95,Anjali,West,Product C,,Closed Lost,2024-11-27
96,Anjali,North,Product B,,Closed Won,2024-07-04
97,Sneha,South,Product B,12543.0,Closed Lost,2024-10-02
98,Sneha,West,Product B,48908.0,Proposal,2024-05-05
99,Rohit,East,Product B,16981.0,Closed Lost,2024-11-08
100,Vikas,East,Product A,33394.0,Qualified,2024-09-06
101,Priya,East,Product B,23304.0,Closed Lost,2024-12-25
102,Karan,North,Product C,,Qualified,2024-07-27
103,Sneha,South,Product C,32201.0,Closed Won,2024-01-09
104,Rohit,East,Product A,,Proposal,2024-12-05
105,Anjali,West,Product C,35794.0,Closed Won,2024-10-08
106,Anjali,East,Product C,30736.0,Proposal,2024-05-08
107,Priya,North,Product C,13621.0,Lead,2024-10-01
108,Neha,South,Product A,49405.0,Proposal,2024-10-28
109,Karan,North,Product A,,Proposal,2024-04-01
110,Karan,North,Product C,,Proposal,2024-01-24
111,Amit,East,Product C,9275.0,Lead,2024-01-07
112,Karan,West,Product B,29866.0,Qualified,2024-01-27
113,Karan,West,Product A,5282.0,Closed Won,2024-02-07
114,Amit,South,Product A,37886.0,Lead,2024-05-07
115,Rohit,West,Product C,,Closed Lost,2024-07-13
116,Sneha,West,Product B,39569.0,Proposal,2024-10-18
117,Amit,North,Product A,,Proposal,2024-12-04
118,Rohit,South,Product A,,Qualified,2024-01-02
119,Vikas,West,Product C,39916.0,Proposal,2024-01-17
120,Priya,East,Product C,19528.0,Lead,2024-12-17
121,Priya,East,Product C,,Closed Won,2024-02-28
122,Priya,South,Product B,,Lead,2024-03-25
123,Karan,East,Product B,9149.0,Proposal,2024-12-24
124,Vikas,East,Product C,36388.0,Closed Won,2024-02-11
125,Amit,West,Product C,22123.0,Lead,2024-02-16
126,Priya,North,Product C,,Qualified,2024-08-28
127,Sneha,East,Product A,39360.0,Closed Won,2024-02-16
128,Sneha,East,Product B,22843.0,Lead,2024-03-23
129,Anjali,West,Product C,33471.0,Closed Won,2024-10-08
130,Amit,West,Product A,21612.0,Proposal,2024-02-29
131,Vikas,North,Product C,36559.0,Closed Won,2024-01-28
132,Priya,East,Product C,33669.0,Lead,2024-04-14
133,Karan,South,Product B,29712.0,Lead,2024-01-15
134,Priya,South,Product B,,Closed Lost,2024-07-27
135,Rohit,South,Product A,,Qualified,2024-09-12
136,Karan,East,Product B,32621.0,Qualified,2024-08-21
137,Neha,West,Product A,,Lead,2024-05-21
138,Vikas,East,Product C,,Proposal,2024-06-01
139,Sneha,South,Product B,36296.0,Proposal,2024-06-19
140,Vikas,West,Product B,,Closed Lost,2024-07-15
141,Priya,West,Product A,21852.0,Closed Won,2024-07-16
142,Neha,West,Product A,9273.0,Lead,2024-08-13
143,Rohit,West,Product A,,Closed Won,2024-12-01
144,Neha,North,Product B,18368.0,Closed Lost,2024-12-20
145,Vikas,North,Product B,45194.0,Proposal,2024-11-16
146,Sneha,North,Product C,,Proposal,2024-04-26
147,Rohit,West,Product A,,Closed Won,2024-03-26
148,Karan,North,Product A,,Proposal,2024-07-02
149,Anjali,West,Product A,17003.0,Closed Lost,2024-12-15
150,Neha,South,Product A,6175.0,Closed Lost,2024-12-15
151,Priya,West,Product C,,Closed Won,2024-11-22
152,Karan,West,Product B,,Closed Won,2024-05-27
153,Neha,North,Product B,23646.0,Closed Won,2024-12-19
154,Karan,West,Product B,14055.0,Closed Won,2024-02-24
155,Priya,West,Product C,24524.0,Proposal,2024-01-12
156,Vikas,East,Product A,,Closed Lost,2024-09-11
157,Karan,South,Product C,,Qualified,2024-11-13
158,Karan,South,Product C,,Proposal,2024-08-13
159,Amit,East,Product C,,Proposal,2024-06-16
160,Vikas,South,Product A,9661.0,Closed Lost,2024-09-13
161,Karan,South,Product B,32578.0,Proposal,2024-02-28
162,Sneha,North,Product A,15785.0,Closed Lost,2024-07-06
163,Rohit,West,Product A,,Closed Won,2024-07-07
164,Karan,West,Product C,,Qualified,2024-08-29
165,Amit,East,Product C,,Closed Won,2024-12-24
166,Karan,West,Product A,,Lead,2024-06-04
167,Sneha,North,Product A,,Closed Won,2024-08-20
168,Anjali,West,Product C,,Closed Won,2024-12-01
169,Rohit,West,Product C,27746.0,Lead,2024-12-19
170,Anjali,South,Product B,,Proposal,2024-02-20
171,Anjali,East,Product A,27092.0,Qualified,2024-03-03
172,Sneha,North,Product C,,Lead,2024-06-19
173,Priya,South,Product C,,Closed Lost,2024-04-16
174,Priya,South,Product B,,Proposal,2024-03-15
175,Neha,East,Product A,,Qualified,2024-01-08
176,Anjali,South,Product C,,Qualified,2024-05-15
177,Amit,South,Product C,,Lead,2024-08-31
178,Sneha,East,Product C,,Closed Won,2024-09-14
179,Priya,North,Product C,44181.0,Closed Won,2024-11-25
180,Amit,North,Product B,27320.0,Lead,2024-09-08
181,Sneha,North,Product A,,Lead,2024-03-05
182,Karan,East,Product B,40150.0,Closed Won,2024-09-15
183,Vikas,North,Product C,,Closed Won,2024-08-19
184,Priya,West,Product B,30720.0,Closed Won,2024-02-18
185,Anjali,West,Product B,44588.0,Proposal,2024-03-19
186,Sneha,North,Product A,,Closed Won,2024-02-19
187,Anjali,South,Product C,4930.0,Lead,2024-07-29
188,Anjali,West,Product C,4371.0,Closed Lost,2024-06-08
189,Anjali,North,Product C,,Qualified,2024-12-02
190,Sneha,South,Product A,23945.0,Lead,2024-05-22
191,Priya,West,Product C,,Closed Lost,2024-12-02
192,Karan,North,Product A,18909.0,Proposal,2024-06-28
193,Amit,South,Product A,38114.0,Lead,2024-03-13
194,Amit,North,Product C,,Closed Won,2024-08-02
195,Sneha,East,Product A,25251.0,Proposal,2024-10-17
196,Rohit,North,Product A,,Lead,2024-05-19
197,Sneha,West,Product B,40785.0,Closed Won,2024-05-19
198,Priya,North,Product B,,Proposal,2024-12-13
199,Sneha,East,Product A,15451.0,Closed Lost,2024-01-29
200,Amit,South,Product B,,Proposal,2024-05-28
154,Karan,West,Product B,14055.0,Closed Won,2024-02-24
190,Sneha,South,Product A,23945.0,Lead,2024-05-22
176,Anjali,South,Product C,,Qualified,2024-05-15
129,Anjali,West,Product C,33471.0,Closed Won,2024-10-08
132,Priya,East,Product C,33669.0,Lead,2024-04-14
74,Priya,North,Product B,9738.0,Closed Lost,2024-10-13
81,Vikas,West,Product C,,Closed Lost,2024-07-13
12,Neha,West,Product B,,Proposal,2024-01-29
10,Sneha,East,Product A,25260.0,Qualified,2024-12-09
95,Anjali,West,Product C,,Closed Lost,2024-11-27
